int_no,rank
601,1
1092,2
1249,3
931,4
284,5
863,6
481,7
778,8
317,9
493,10
593,11
411,12
374,13
1266,14
904,15
8256,16
1029,17
886,18
602,19
8830,20
1138,21
8863,22
1198,23
444,24
286,25
356,26
386,27
6044,28
419,29
428,30
128,31
533,32
628,33
1064,34
443,35
421,36
873,37
402,38
1089,39
1090,40
385,41
316,42
416,43
517,44
538,45
1283,46
190,47
1046,48
1685,49
1278,50
1043,51
420,52
417,53
910,54
406,55
345,56
1031,57
928,58
478,59
367,60
1633,61
805,62
344,63
633,64
1213,65
267,66
543,67
441,68
351,69
846,70
648,71
384,72
36,73
914,74
1599,75
539,76
2,77
1047,78
1176,79
1101,80
1071,81
152,82
1020,83
1086,84
8845,85
888,86
1093,87
346,88
109,89
868,90
1117,91
708,92
47,93
629,94
211,95
432,96
16918,97
745,98
1042,99
1104,100
388,101
547,102
266,103
1189,104
283,105
1168,106
130,107
1375,108
933,109
1151,110
782,111
7149,112
6736,113
797,114
359,115
16660,116
858,117
545,118
712,119
330,120
337,121
144,122
165,123
1120,124
425,125
7195,126
938,127
1677,128
12703,129
333,130
1039,131
920,132
175,133
1137,134
219,135
507,136
502,137
1139,138
364,139
1069,140
145,141
9028,142
368,143
1251,144
631,145
887,146
1040,147
4481,148
882,149
915,150
842,151
542,152
897,153
110,154
352,155
15748,156
595,157
285,158
2232,159
884,160
221,161
1510,162
1520,163
13288,164
342,165
758,166
1242,167
271,168
160,169
171,170
7,171
331,172
1182,173
1034,174
1757,175
872,176
10475,177
1058,178
13332,179
1070,180
1241,181
135,182
923,183
164,184
412,185
1131,186
1052,187
1239,188
1053,189
540,190
1073,191
912,192
1284,193
377,194
427,195
281,196
572,197
467,198
12785,199
361,200
365,201
1282,202
642,203
326,204
1671,205
1016,206
13660,207
414,208
154,209
16661,210
363,211
8888,212
494,213
1210,214
347,215
334,216
570,217
924,218
422,219
1204,220
1141,221
477,222
460,223
149,224
594,225
843,226
497,227
885,228
1207,229
1102,230
738,231
1224,232
392,233
857,234
1005,235
9146,236
4852,237
1129,238
535,239
341,240
699,241
289,242
298,243
6207,244
8851,245
1061,246
1197,247
474,248
1761,249
53,250
362,251
1208,252
704,253
101,254
336,255
108,256
1118,257
1167,258
1008,259
1128,260
609,261
1281,262
838,263
1030,264
1041,265
366,266
390,267
142,268
870,269
546,270
929,271
50,272
1072,273
599,274
308,275
16283,276
13283,277
1202,278
711,279
1048,280
500,281
668,282
1121,283
348,284
461,285
445,286
168,287
1313,288
313,289
1262,290
297,291
127,292
1110,293
549,294
13284,295
1524,296
147,297
471,298
163,299
588,300
120,301
13146,302
1022,303
8891,304
6823,305
5653,306
1245,307
137,308
16042,309
5914,310
1000,311
288,312
894,313
8979,314
12453,315
220,316
295,317
